LandSerfID,name,lon,lat,region
1,Aldgate,-0.075887538,51.5118244,n
2,Angel,-0.105772726,51.53408658,n
3,Avondale,-0.217031194,51.51260741,n
4,Bank,-0.089651177,51.51281855,n
5,Bankside,-0.094601052,51.50654309,s
6,Barbican,-0.095720441,51.52003881,n
7,Battersea,-0.165226244,51.47268445,s
8,Battersea Park,-0.14921179,51.47985777,s
9,Bayswater,-0.184931725,51.51465486,n
10,Bermondsey,-0.077621664,51.50106432,s
11,Bethnal Green,-0.056325362,51.52801558,n
12,Blackwall,-0.008290928,51.50766684,n
13,Bloomsbury,-0.125777589,51.52260644,n
14,Borough,-0.092875036,51.49961503,s
15,Bow,-0.022287914,51.52736589,n
16,Brixton,-0.115460357,51.46488159,s
17,Camden Town,-0.139163889,51.53797794,n
18,Canary Wharf,-0.019112896,51.50332224,n
19,Chelsea,-0.164847696,51.48805841,n
20,Clapham,-0.171290405,51.46431488,s
21,Clerkenwell,-0.113071219,51.52622319,n
22,Covent Garden,-0.122571653,51.51516096,n
23,Cubitt Town,-0.009101807,51.49021111,n
24,Earl's Court,-0.192540971,51.4911585,n
25,Elephant & Castle,-0.106355485,51.49637276,s
26,Euston,-0.135161468,51.52774305,n
27,Finsbury,-0.101752384,51.52694186,n
28,Fitzrovia,-0.14037623,51.52012151,n
29,Fulham,-0.214216101,51.47702506,n
30,Haggerston,-0.068752976,51.53624158,n
31,Hammersmith,-0.221631855,51.49032512,n
32,Holborn,-0.111725875,51.51839534,n
33,Hoxton,-0.084982464,51.53181343,n
34,Hyde Park,-0.170435936,51.50594521,n
35,Kennington,-0.113193436,51.48523873,s
36,Kensington,-0.191287957,51.50081938,n
37,King's Cross,-0.123816063,51.53406799,n
38,Knightsbridge,-0.161885642,51.49840823,n
39,Ladbroke Grove,-0.206269461,51.50694838,n
40,Limehouse,-0.032141874,51.51189412,n
41,Liverpool Street,-0.081286249,51.51875785,n
42,Marylebone,-0.157648807,51.5202725,n
43,Mayfair,-0.151513027,51.50937283,n
44,Mile End,-0.033309957,51.52280963,n
45,Millwall,-0.019065698,51.49432774,n
46,Notting Hill,-0.195435502,51.51004027,n
47,Old Ford,-0.027705263,51.53441807,n
48,Olympia,-0.212023434,51.49666912,n
49,Olympic Park,-0.017285599,51.54344734,n
50,Paddington,-0.176340987,51.51981257,n
51,Parson's Green,-0.203271557,51.46951537,n
52,Pimlico,-0.139472875,51.48782156,n
53,Poplar,-0.016313036,51.51461733,n
54,Portobello,-0.204198744,51.5187517,n
55,Putney,-0.209387524,51.4619655,s
56,Regent's Park,-0.153081106,51.53010514,n
57,Sands End,-0.186966251,51.47039473,n
58,Shadwell,-0.054353618,51.50993611,n
59,Shepherd's Bush,-0.217589972,51.50312397,n
60,Shoreditch,-0.074258502,51.52421969,n
61,Soho,-0.13760935,51.51393608,n
62,South Bank,-0.113564035,51.50630036,s
63,South Kensington,-0.177561879,51.49438524,n
64,Southwark,-0.104610615,51.50398692,s
65,St John's Wood,-0.174445823,51.52815197,n
66,St Luke's,-0.091098504,51.52602868,n
67,St Paul's,-0.103147765,51.51267718,n
68,Stepney,-0.047644152,51.51751899,n
69,Stockwell,-0.122413803,51.47622033,s
70,Strand,-0.118688148,51.51020103,n
71,Vauxhall,-0.117253523,51.49161093,s
72,Victoria,-0.144322391,51.49370797,n
73,Victoria Park,-0.044086596,51.53670107,n
74,Walham Green,-0.193519343,51.47831294,n
75,Walworth,-0.09471149,51.49203847,s
76,Wandsworth,-0.190711178,51.46021517,s
77,Wandsworth Road,-0.138079404,51.47197014,s
78,Wapping,-0.066480511,51.50588675,n
79,Waterloo,-0.114821637,51.50057747,s
80,West Chelsea,-0.180373692,51.48252968,n
81,West End,-0.131758021,51.50591293,n
82,West Kensington,-0.208508932,51.48593647,n
83,Westminster,-0.133412627,51.49817718,n
84,Whitechapel,-0.065366072,51.51797615,n